,Exam,Organisation,Qualification,Salary,Minage,Maxage,Allowance,ExamMode,Fee,Level,Ptest,Website,Fields,Attempts,Pattempts,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
10,Indian Engineering Services,UPSC,Degree,NIL,21,30,"SC/ST(35),OBC(33),Jammu kasmir(35),Defence(35),Ex-service man(35),handicapped(40)",NIL, Rs 200,"Prelims,Mains,Personality test",yes,www.upsc.gov.in,NIL,NIL,NIL,,,,,,,
11,,,,,,,,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,
12,,,,,,,,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,
13,Ticket collecter (Railway),RRB,Diploma,5000-20000,18,30,NIL,NIL,NIL,"Written,Verify documents",NIL,NIL,NIL,NIL,NIL,,,,,,,
14,Technician ,isro,Diploma,NIL,18,35,NIL,NIL,Rs 250,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,
15,Draughtsman-B,isro,Diploma,NIL,18,35,NIL,NIL,Rs 250,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,
16,Technical Assistant,isro,Diploma,NIL,18,35,NIL,NIL,Rs 250,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,
17,Scientific Assistant,isro,Diploma,NIL,18,35,NIL,NIL,Rs 250,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,
18,Fireman-A,isro,Diploma,NIL,18,35,NIL,NIL,Rs 250,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,
19,Scientific Asst,npcil,Diploma,16000-18000,18,25,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,
20,Leading Fireman,npcil,Diploma,25000,18,32,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,
21,Junior Technical Associate,western railway,Diploma,NIL,18,33,"SC/ST(38),OBC(36)",NIL,Rs 250,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,
22,Designer Gr-IV (mechanical),HSL,Diploma,NIL,NIL,28,NIL,NIL,Rs 200,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,
23,Designer Gr-IV (electrical),HSL,Diploma,NIL,NIL,28,NIL,NIL, Rs 200,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,
24,Ship Design Assistants (Mechanical),csl,Diploma,NIL,NIL,30,"OBC(33),SC/ST(35)",NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,
25,Ship Design Assistants (Electrical),csl,Diploma,NIL,NIL,30,"OBC(33),SC/ST(35)",NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,
26,Grade B Officer -Dr(general),RBI ,degree,Rs 35000,21,30,NIL,Both online &offline,Rs 850,"prelims , mains and interview",no,ibpsonline.ibps.in,NIL,"General - 6 Attemps, SC/ST/PWD-no limit",NIL,,,,,,,
27,Grade B(Dr) - DEPR,RBI ,Degree,Rs 35000,21,30,NIL,Both online &offline,Rs 850,"prelims , mains and interview",no,ibpsonline.ibps.in,NIL,"General - 6 Attemps, SC/ST/PWD-no limit",NIL,,,,,,,
28,Grade B(Dr) - DSIM@,RBI ,Degree,Rs 35000,21,30,NIL,Both online &offline,Rs 850,"prelims , mains and interview",no,ibpsonline.ibps.in,NIL,"General - 6 Attemps, SC/ST/PWD-no limit",NIL,,,,,,,
29,Junior Engineer (civil),RBI ,diploma,Rs21400,20,30,NIL,online,Rs450,"Online exam , LPT",no,m.rbi.org.in,NIL,NIL,NIL,,,,,,,
30,Junior Engineer (electrical),RBI ,Diploma,Rs 21400,20,30,NIL,online,Rs 450,"Online exam , LPT",no,m.rbi.org.in,NIL,NIL,NIL,,,,,,,
31,Merchant Banker,INDBANK,Degree,Rs 8.00 -12.00 L p.a,NIL,40,NIL,NIL,NIL,Interview,NIL,m.rbi.org.in,NIL,NIL,NIL,,,,,,,
32,Research analysts,INDBANK,Degree,Rs 4.00 - 6.00 L p.a,NIL,35,NIL,NIL,NIL,Interview,NIL,m.rbi.org.in,NIL,NIL,NIL,,,,,,,
33,System officer,INDBANK,Degree,Rs 2.50 - 3.00 L p.a,21,30,NIL,NIL,NIL,Interview,NIL,m.rbi.org.in,NIL,NIL,NIL,,,,,,,
34,Secretarial officer-dealer (stock broking),INDBANK,Degree,Rs 2.50 - 3.00 L p.a,21,30,NIL,NIL,NIL,Interview,NIL,m.rbi.org.in,NIL,NIL,NIL,,,,,,,
35,Secretarial officer-trainee (back office staff),INDBANK,Degree,Rs 9000 - 15000 p.m,21,30,NIL,NIL,NIL,Interview,NIL,m.rbi.org.in,NIL,NIL,NIL,,,,,,,
36,Engineer(fire),SBI SO,Degree,NIL,NIL,40,NIL,NIL,NIL,Interview,NIL,NIL,NIL,NIL,NIL,,,,,,,
37,Deputy manager (internal audit),SBI SO,Degree,NIL,21,35,NIL,NIL,NIL,Interview,NIL,NIL,NIL,NIL,NIL,,,,,,,
38,Manager (network security specialist),SBI SO,Degree,NIL,NIL,45,NIL,NIL,NIL,Interview,NIL,NIL,NIL,NIL,NIL,,,,,,,
39,Manager(network routing &specialist ),SBI SO,Degree,NIL,NIL,45,NIL,NIL,NIL,Interview,NIL,NIL,NIL,NIL,NIL,,,,,,,
40,Assistant manager(security analyst),SBI SO,Degree,NIL,NIL,28,NIL,NIL,NIL,Interview,NIL,NIL,NIL,NIL,NIL,,,,,,,
41,Deputy manager(security analyst),SBI SO,Degree,NIL,NIL,33,NIL,NIL,NIL,Interview,NIL,NIL,NIL,NIL,NIL,,,,,,,
42,Assistant manager (systems),SBI SO,Degree,NIL,NIL,30,NIL,NIL,NIL,Interview,NIL,NIL,NIL,NIL,NIL,,,,,,,
43,Deputy manager (system),SBI SO,Degree,NIL,NIL,33,NIL,NIL,NIL,Interview,NIL,NIL,NIL,NIL,NIL,,,,,,,
44,IT security expert,SBI SO,Degree,NIL,NIL,38,NIL,NIL,NIL,Interview,NIL,NIL,NIL,NIL,NIL,,,,,,,
45,Project Manager,SBI SO,Degree,NIL,NIL,38,NIL,NIL,NIL,Interview,NIL,NIL,NIL,NIL,NIL,,,,,,,
46,Application architect,SBI SO,Degree,NIL,NIL,38,NIL,NIL,NIL,Interview,NIL,NIL,NIL,NIL,NIL,,,,,,,
47,Technical head,SBI SO,Degree,NIL,NIL,38,NIL,NIL,NIL,Interview,NIL,NIL,NIL,NIL,NIL,,,,,,,
48,Manager (marketing),SBI SO,Degree,NIL,NIL,40,NIL,NIL,NIL,Interview,NIL,NIL,NIL,NIL,NIL,,,,,,,
49,Deputy manager (marketing),SBI SO,Degree,NIL,NIL,35,NIL,NIL,NIL,Interview,NIL,NIL,NIL,NIL,NIL,,,,,,,
50,Bank 's medical consultant,RBI , Degree,NIL,NIL,NIL,NIL,NIL,NIL,Interview,NIL,NIL,NIL,NIL,NIL,,,,,,,
51,Security Guard,RBI ,SSLC,NIL,NIL,30,General(25) OBC(28) SC/ST(30),NIL,Rs 50,Interview,YES,m.rbi.org.in,NIL,NIL,NIL,,,,,,,
52,Apprentices(ITI),BLW,SSLC,NIL,15,22,NIL,NIL,Rs 100,"endurance test , written",yes,NIL,NIL,NIL,NIL,,,,,,,
53,Apprentices(Non ITI),BLW,SSLC,NIL,15,22,NIL,NIL,Rs 100,"endurance test , written",yes,NIL,NIL,NIL,NIL,,,,,,,
54,Multi tasking staff (Non technical),SSC MTS,SSLC,Rs 5200 - 20200,18,25,NIL,NIL,Rs 100,"CBE , DV , DTE",NIL,NIL,NIL,NIL,NIL,,,,,,,
55,Insurance Representative,LIC,SSLC,NIL,18,45,NIL,NIL,NIL,NIL,NIL,rojgar.mahaswayam.gov.in,NIL,NIL,NIL,,,,,,,
56,Part time insurance advisor,LIC,Degree,NIL,18,45,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,
57,Insurance advisor,LIC,SSLC,Rs 20000,18,45,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,
